epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
77,7111.29,1.79259,0.9658,0.00086,0.63961,0.27705,0.27514,0.09437,1.26295,1.82641,0.00086,2.88321e-05,2.88321e-05,2.88321e-05,0.000144161,0.000144161,0.000144161
78,7186.32,1.73362,0.95208,0.00084,0.65195,0.27705,0.27767,0.09424,1.26128,1.82169,0.00084,2.6739e-05,2.6739e-05,2.6739e-05,0.000133695,0.000133695,0.000133695
79,7263.88,1.79359,1.02966,0.00088,0.668,0.27377,0.28079,0.09435,1.26553,1.91172,0.00085,2.47192e-05,2.47192e-05,2.47192e-05,0.000123596,0.000123596,0.000123596
80,7339.07,1.75793,0.95411,0.00085,0.6966,0.27377,0.28241,0.09893,1.24554,1.91089,0.00082,2.27747e-05,2.27747e-05,2.27747e-05,0.000113873,0.000113873,0.000113873
81,7414.42,1.7702,0.96083,0.00087,0.6734,0.28033,0.28025,0.09624,1.25966,1.86128,0.00084,2.09073e-05,2.09073e-05,2.09073e-05,0.000104537,0.000104537,0.000104537
82,7492,1.73074,0.94074,0.00086,0.6201,0.27705,0.27248,0.09375,1.26712,1.8511,0.00085,1.9119e-05,1.9119e-05,1.9119e-05,9.55951e-05,9.55951e-05,9.55951e-05
83,7566.97,1.76866,0.9793,0.00087,0.6396,0.28361,0.2811,0.09816,1.26217,1.88987,0.00085,1.74115e-05,1.74115e-05,1.74115e-05,8.70577e-05,8.70577e-05,8.70577e-05
84,7642.01,1.78037,0.96751,0.00086,0.63793,0.28306,0.28225,0.09822,1.25683,1.83407,0.00084,1.57865e-05,1.57865e-05,1.57865e-05,7.89327e-05,7.89327e-05,7.89327e-05
85,7718.21,1.71589,0.93866,0.00084,0.62756,0.27869,0.27676,0.09822,1.25561,1.84466,0.00084,1.42456e-05,1.42456e-05,1.42456e-05,7.12282e-05,7.12282e-05,7.12282e-05
86,7793.32,1.77821,0.98564,0.00086,0.64241,0.27541,0.27562,0.09795,1.26198,1.85209,0.00085,1.27904e-05,1.27904e-05,1.27904e-05,6.39518e-05,6.39518e-05,6.39518e-05
87,7868.69,1.75628,0.97166,0.00086,0.6448,0.27974,0.28012,0.09632,1.25582,1.84819,0.00084,1.14221e-05,1.14221e-05,1.14221e-05,5.71106e-05,5.71106e-05,5.71106e-05
88,7944.75,1.75396,0.96162,0.00084,0.63873,0.27541,0.27599,0.09706,1.2538,1.89955,0.00084,1.01423e-05,1.01423e-05,1.01423e-05,5.07115e-05,5.07115e-05,5.07115e-05
89,8019.84,1.73494,0.94039,0.00085,0.65539,0.27437,0.2799,0.09664,1.25157,1.90054,0.00083,8.95213e-06,8.95213e-06,8.95213e-06,4.47606e-05,4.47606e-05,4.47606e-05
90,8094.99,1.72034,0.97244,0.00084,0.64566,0.27541,0.27813,0.09612,1.25867,1.93732,0.00084,7.8528e-06,7.8528e-06,7.8528e-06,3.9264e-05,3.9264e-05,3.9264e-05
91,8183.21,1.75991,0.9554,0.00085,0.64539,0.27705,0.28092,0.097,1.25406,1.91935,0.00084,6.8454e-06,6.8454e-06,6.8454e-06,3.4227e-05,3.4227e-05,3.4227e-05
92,8258.51,1.70776,0.95845,0.00084,0.65484,0.27541,0.28083,0.09603,1.25859,1.93462,0.00084,5.93093e-06,5.93093e-06,5.93093e-06,2.96546e-05,2.96546e-05,2.96546e-05
93,8333.89,1.68587,0.94173,0.00082,0.65063,0.27477,0.27839,0.09643,1.26072,1.92329,0.00085,5.11027e-06,5.11027e-06,5.11027e-06,2.55513e-05,2.55513e-05,2.55513e-05
94,8411.23,1.74816,0.96112,0.00085,0.65347,0.27514,0.27931,0.09678,1.25647,1.92165,0.00084,4.38424e-06,4.38424e-06,4.38424e-06,2.19212e-05,2.19212e-05,2.19212e-05
95,8486.45,1.74908,0.96482,0.00087,0.65698,0.27705,0.27989,0.09597,1.25828,1.90885,0.00084,3.75356e-06,3.75356e-06,3.75356e-06,1.87678e-05,1.87678e-05,1.87678e-05
96,8561.81,1.73609,0.90518,0.00084,0.66078,0.27705,0.28076,0.09474,1.25804,1.9084,0.00084,3.21885e-06,3.21885e-06,3.21885e-06,1.60943e-05,1.60943e-05,1.60943e-05
97,8639.36,1.74038,0.95699,0.00084,0.65783,0.27735,0.27979,0.09443,1.25962,1.9072,0.00084,2.78064e-06,2.78064e-06,2.78064e-06,1.39032e-05,1.39032e-05,1.39032e-05
98,8714.38,1.75115,0.97125,0.00085,0.65971,0.27869,0.2798,0.0945,1.26292,1.89185,0.00085,2.43937e-06,2.43937e-06,2.43937e-06,1.21968e-05,1.21968e-05,1.21968e-05
99,8789.61,1.75231,0.95976,0.00084,0.63046,0.27869,0.27992,0.09528,1.25891,1.88786,0.00085,2.19535e-06,2.19535e-06,2.19535e-06,1.09768e-05,1.09768e-05,1.09768e-05
100,8867.34,1.66937,0.91714,0.00082,0.64637,0.27869,0.27907,0.09446,1.2607,1.90091,0.00085,2.04885e-06,2.04885e-06,2.04885e-06,1.02443e-05,1.02443e-05,1.02443e-05
